Date,PM2.5,PM10,RH,SR
01-01-2017 00:00,162,227,71.83,12.25
01-01-2017 01:00,165.17,226.17,73.25,12.17
01-01-2017 02:00,176.67,215.33,74.92,12.42
01-01-2017 03:00,150.67,177.5,75.08,12.17
01-01-2017 04:00,129.5,174.5,75.33,12.25
01-01-2017 05:00,145,286,76.75,12.33
01-01-2017 06:00,207,347.33,78,12.83
01-01-2017 07:00,207.17,323.33,78.67,76.75
01-01-2017 08:00,295.67,435.17,77.88,304.12
01-01-2017 09:00,357.17,501.67,71.33,395.33
01-01-2017 10:00,324.67,439.17,65.42,410.42
01-01-2017 11:00,208,340.83,59.17,414.83
01-01-2017 12:00,208,239.17,54.25,412.92
01-01-2017 13:00,188.67,205.67,51.67,406.42
01-01-2017 14:00,90,180.33,50,389.5
01-01-2017 15:00,80,163.67,50.67,336.08
01-01-2017 16:00,80,175.62,52.25,187.08
01-01-2017 17:00,80,221.33,55.92,30.75
01-01-2017 18:00,80,341,60.17,12.25
01-01-2017 19:00,111.33,476.33,65.5,12.42
01-01-2017 20:00,267.17,700.17,69.08,12.17
01-01-2017 21:00,267.5,689.5,71.17,12.33
01-01-2017 22:00,321,728.83,72.75,12.42
01-01-2017 23:00,486,838,74.25,12.17
02-01-2017 00:00,498,838,75.92,12.58
02-01-2017 01:00,322.75,808.12,77.17,12.25
02-01-2017 02:00,342.25,569.67,77.67,12.25
02-01-2017 03:00,178,438.33,78.67,12
02-01-2017 04:00,379.17,509.67,79.08,12.42
02-01-2017 05:00,345.83,488.5,79,12.67
02-01-2017 06:00,406.5,539.5,79,12.75
02-01-2017 07:00,437,639,78.58,75
02-01-2017 08:00,428.17,556,74,320.25
02-01-2017 09:00,401.33,594.17,58.33,392.08
02-01-2017 10:00,224.5,554.5,54.17,405.42
02-01-2017 11:00,157.17,279,50.17,409.75
02-01-2017 12:00,144.83,278.67,44,407.17
02-01-2017 13:00,81,247.17,38.42,392.25
02-01-2017 14:00,89.67,356.83,38.17,371.5
02-01-2017 15:00,80.83,398.83,39.67,294
02-01-2017 16:00,73.83,418.75,41.17,173.67
02-01-2017 17:00,98.5,540.83,48.08,28.92
02-01-2017 18:00,134.5,662.5,56.58,12.67
02-01-2017 19:00,183.67,543,63.17,12.08
02-01-2017 20:00,216.67,607.67,66.17,12.33
02-01-2017 21:00,225.67,491.67,68.17,12.58
02-01-2017 22:00,307.5,565.83,70,12.25
02-01-2017 23:00,417.33,637.5,70.33,12.25
03-01-2017 00:00,253.25,475,72.25,12.5
03-01-2017 01:00,244,467.83,74.67,12.42
03-01-2017 02:00,225,425.83,76.42,12.25
03-01-2017 03:00,225,379.83,77.75,12.25
03-01-2017 04:00,200.17,319.67,78.92,12.42
03-01-2017 05:00,210,406.67,79,12.42
03-01-2017 06:00,268,456,79.67,12.96
03-01-2017 07:00,330.5,483.33,80.08,92.33
03-01-2017 08:00,321.67,469.17,77.92,337
03-01-2017 09:00,338.67,464,68,390.58
03-01-2017 10:00,336.17,467.83,57.33,399
03-01-2017 11:00,352.5,524.67,47.58,399.25
03-01-2017 12:00,326.33,605.17,39.92,395
03-01-2017 13:00,282.17,649.5,36.08,384
03-01-2017 14:00,147.83,432.5,37.33,367.08
03-01-2017 15:00,119.83,404.83,39,299.25
03-01-2017 16:00,116.33,516.83,45.08,154.5
03-01-2017 17:00,158,594.67,52.75,27.58
03-01-2017 18:00,191.83,681,59.42,12
03-01-2017 19:00,256.75,763.5,64.67,12.25
03-01-2017 20:00,324.5,732.5,67.08,12.25
03-01-2017 21:00,365.5,784,68.92,12.33
03-01-2017 22:00,440.17,902.33,70.75,12.42
03-01-2017 23:00,484,294.51,72.92,12.67
04-01-2017 00:00,516,294.51,74.83,12.33
04-01-2017 01:00,476.33,961.5,77,12.5
04-01-2017 02:00,473.5,674,78.17,12.25
04-01-2017 03:00,448.17,664.83,79.33,12.33
04-01-2017 04:00,432.67,621.33,80,12.33
04-01-2017 05:00,431.67,645.33,80,12.58
04-01-2017 06:00,465.67,704.17,80,12.75
04-01-2017 07:00,481.67,665.67,80.67,90.25
04-01-2017 08:00,420.5,559.5,78.75,350.5
04-01-2017 09:00,396.5,598.33,63.25,388.17
04-01-2017 10:00,252.5,394.5,49.5,396.92
04-01-2017 11:00,190.17,335.33,44.75,400.33
04-01-2017 12:00,150.33,283.17,39.83,404.75
04-01-2017 13:00,72.17,193,37.58,397.83
04-01-2017 14:00,74.33,214.83,37.08,374.42
04-01-2017 15:00,79.5,218.83,36.17,293.5
04-01-2017 16:00,76.83,200.67,45.08,172.5
04-01-2017 17:00,102,252,52.33,27.46
04-01-2017 18:00,113.67,310.83,59,12.25
04-01-2017 19:00,148.17,276.67,62.92,12.42
04-01-2017 20:00,150.33,278.5,65.33,12.25
04-01-2017 21:00,142.17,362.67,67.58,12.33
04-01-2017 22:00,193,334,69.58,12.38
04-01-2017 23:00,193.67,386,72.5,12.33
05-01-2017 00:00,210.33,358.83,74.5,12.17
05-01-2017 01:00,274.67,515,76.08,12.17
05-01-2017 02:00,253.83,342.5,76.75,12.17
05-01-2017 03:00,206.17,304.83,77.08,12.67
05-01-2017 04:00,201.5,328.5,77.67,12.67
05-01-2017 05:00,223.33,435.67,78.5,12.33
05-01-2017 06:00,219.17,359.17,78.83,12.75
05-01-2017 07:00,222.67,368.33,79,76.67
05-01-2017 08:00,267.17,416.17,77.5,296.17
05-01-2017 09:00,298.83,440.83,69.17,388.58
05-01-2017 10:00,289.83,413.5,52.88,393.87
05-01-2017 11:00,220.17,446.17,43.17,395.83
05-01-2017 12:00,197.17,517,39.33,393.75
05-01-2017 13:00,182,501.67,36.5,387.75
05-01-2017 14:00,195.67,547.17,34.92,369.83
05-01-2017 15:00,163.5,527.38,34.08,305.67
05-01-2017 16:00,166.17,537.5,38.75,169.83
05-01-2017 17:00,214,791.33,50.42,30.25
05-01-2017 18:00,298.5,773.33,57.25,12.67
05-01-2017 19:00,289,522.17,63.5,12.42
05-01-2017 20:00,257.67,528.33,68.42,12.33
05-01-2017 21:00,293,663.5,70.88,12.42
05-01-2017 22:00,380.83,826.33,72.42,12.33
05-01-2017 23:00,392.33,794.5,73.33,12.42
06-01-2017 00:00,361,706.17,74,12.5
06-01-2017 01:00,269.67,453,75,12.17
06-01-2017 02:00,253.83,325,75,12.42
06-01-2017 03:00,204.33,280.17,74.67,12.21
06-01-2017 04:00,185.17,258,75,12.33
06-01-2017 05:00,184.83,271.33,75.92,12.42
06-01-2017 06:00,205.67,283.33,77,12.75
06-01-2017 07:00,211.17,261.33,77.25,71.25
06-01-2017 08:00,202.5,275.17,75.5,304.67
06-01-2017 09:00,222.17,303.67,67.42,393.25
06-01-2017 10:00,179.83,269,59.33,409.58
06-01-2017 11:00,160,284.5,52.08,411.25
06-01-2017 12:00,149,319.17,48.5,409.92
06-01-2017 13:00,178.33,347.33,45.92,402.25
06-01-2017 14:00,105,317.33,51.42,378.25
06-01-2017 15:00,131.5,354.5,53.83,290.83
06-01-2017 16:00,138,331.17,58.67,209.33
06-01-2017 17:00,134.67,325.83,62.75,30
06-01-2017 18:00,148,326.5,65.75,12.08
06-01-2017 19:00,177.17,348.17,71.75,12.33
06-01-2017 20:00,192.33,289.17,74.67,12.33
06-01-2017 21:00,167.67,263.33,76.17,12.42
06-01-2017 22:00,187.33,259,77.5,12.25
06-01-2017 23:00,195.17,270.5,78.75,12.17
07-01-2017 00:00,200.83,268.5,79,12.5
07-01-2017 01:00,201.67,268.5,79.17,12.33
07-01-2017 02:00,209,257.5,80.17,12.5
07-01-2017 03:00,201,266.33,81.17,12.5
07-01-2017 04:00,176,257.83,82.25,12.42
07-01-2017 05:00,125.17,174.33,82.5,12.33
07-01-2017 06:00,119,133.17,82.42,14
07-01-2017 07:00,105.67,114.17,82,35.25
07-01-2017 08:00,87.67,93.5,80.92,133.92
